Population Steps Matrix,,,,,,,,,,,,,,,,
6.14453125,89.05078125,52.2734375,43.796875,23.1484375,36.828125,6.83203125,49.390625,,,,,,,,,
88.671875,6.16796875,45.41796875,51.9765625,17.62109375,9.36328125,87.54296875,21.68359375,,,,,,,,,
51.5390625,45.6875,6.39453125,88.68359375,24.9296875,24.1640625,52.21875,59.80078125,,,,,,,,,
44.57421875,53.75,89.05078125,6.73046875,15.95703125,22.3046875,45.2265625,11.94921875,,,,,,,,,
27.29296875,18.671875,26.640625,18.81640625,6.5546875,8.01953125,15.04296875,12.21875,,,,,,,,,
38.890625,9.27734375,24.45703125,20.9296875,8.953125,6.52734375,28.84765625,13.640625,,,,,,,,,
7.14453125,86.796875,52.87109375,45.109375,15.54296875,32.25390625,7.21484375,47.09765625,,,,,,,,,
49.42578125,19.8671875,57.65234375,11.3125,11.1640625,12.99609375,47.640625,8.62109375,,,,,,,,,
Population scores Matrix,,,,,,,,,,,,,,,,
1,0.11328125,0.5078125,0.59765625,0.876953125,0.724609375,1,0.560546875,,,,,,,,,
0.1171875,1,0.587890625,0.51171875,0.91796875,0.98828125,0.12890625,0.890625,,,,,,,,,
0.515625,0.5859375,1,0.1171875,0.853515625,0.849609375,0.51171875,0.490234375,,,,,,,,,
0.58984375,0.4921875,0.11328125,0.99609375,0.92578125,0.85546875,0.595703125,0.95703125,,,,,,,,,
0.814453125,0.904296875,0.8515625,0.8984375,0.99609375,0.99609375,0.96484375,0.96875,,,,,,,,,
0.6953125,0.986328125,0.84375,0.86328125,0.98828125,1,0.8203125,0.953125,,,,,,,,,
0.99609375,0.13671875,0.50390625,0.58984375,0.953125,0.8046875,1,0.580078125,,,,,,,,,
0.56640625,0.908203125,0.521484375,0.97265625,0.98046875,0.962890625,0.578125,0.994140625,,,,,,,,,
Population Divergence Matrix,,,,,,,,,,,,,,,,
0,0.407104112,0.28580253,0.298370741,0.353032873,0.276967857,0.122041788,0.366090694,,0,40.71041125,28.58025297,29.8370741,35.3032873,27.6967857,12.20417883,36.60906944
0.407104112,0,0.280185729,0.294648095,0.2787066,0.212115203,0.399778755,0.264378573,,40.71041125,0,28.01857291,29.46480948,27.87065995,21.21152032,39.97787547,26.43785729
0.28580253,0.280185729,0,0.460323731,0.386869273,0.2984519,0.300236775,0.396151909,,28.58025297,28.01857291,0,46.03237312,38.68692733,29.84518997,30.02367746,39.6151909
0.298370741,0.294648095,0.460323731,0,0.255487777,0.227390936,0.282171531,0.214842991,,29.8370741,29.46480948,46.03237312,0,25.54877772,22.7390936,28.21715312,21.48429906
0.353032873,0.2787066,0.386869273,0.255487777,0,0.183724387,0.317550208,0.231074071,,35.3032873,27.87065995,38.68692733,25.54877772,0,18.37243871,31.75502083,23.10740707
0.276967857,0.212115203,0.2984519,0.227390936,0.183724387,0,0.26488909,0.170747119,,27.6967857,21.21152032,29.84518997,22.7390936,18.37243871,0,26.48890897,17.07471192
0.122041788,0.399778755,0.300236775,0.282171531,0.317550208,0.26488909,0,0.332518891,,12.20417883,39.97787547,30.02367746,28.21715312,31.75502083,26.48890897,0,33.25188905
0.366090694,0.264378573,0.396151909,0.214842991,0.231074071,0.170747119,0.332518891,0,,36.60906944,26.43785729,39.6151909,21.48429906,23.10740707,17.07471192,33.25188905,0
